City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Valparaiso,CL,-33.0393,-71.6273,57.0,93,0,4.61,clear sky
80,Rameshki,RU,57.3439,36.0453,42.62,84,23,5.19,few clouds
81,Nanortalik,GL,60.1432,-45.2371,34.34,72,1,5.28,clear sky
82,Cape Town,ZA,-33.9258,18.4232,62.01,94,0,1.14,clear sky
83,Price,US,39.5994,-110.8107,46.4,29,1,4.61,clear sky
84,Aklavik,CA,68.2191,-135.0107,8.6,47,62,6.91,broken clouds
85,Zyryanka,RU,65.75,150.85,0.73,65,99,2.3,overcast clouds
86,The Valley,AI,18.217,-63.0578,75.99,68,20,4.61,few clouds
87,Humboldt,US,40.6665,-123.9178,46.0,87,1,4.61,clear sky
88,Isla Mujeres,MX,21.2311,-86.731,80.01,89,20,8.05,few clouds
89,Aksarka,RU,66.5606,67.7975,32.7,80,38,18.68,scattered clouds
90,Mahebourg,MU,-20.4081,57.7,78.8,89,75,1.14,light rain
91,Tura,IN,25.5198,90.2201,91.51,29,3,6.35,clear sky
92,Tasiilaq,GL,65.6145,-37.6368,24.8,58,4,4.61,clear sky
93,Touros,BR,-5.1989,-35.4608,75.2,94,40,4.61,scattered clouds
94,Sitka,US,57.0531,-135.33,39.2,81,90,4.61,overcast clouds
95,Brae,GB,60.3964,-1.353,33.8,86,75,8.05,broken clouds
96,Hermanus,ZA,-34.4187,19.2345,63.0,81,99,5.99,overcast clouds
97,Phuket,TH,8.0,98.25,89.01,66,20,11.5,few clouds
98,Chililabombwe,ZM,-12.3648,27.8229,57.56,98,57,4.9,broken clouds
99,Fukue,JP,32.6881,128.8419,62.6,94,75,12.66,moderate rain
100,Havelock,US,34.8791,-76.9013,66.0,89,27,3.0,scattered clouds
101,Castro,BR,-24.7911,-50.0119,61.95,79,3,4.83,clear sky
102,Rikitea,PF,-23.1203,-134.9692,78.13,74,6,7.4,light rain
103,Beyneu,KZ,45.3167,55.2,59.0,29,0,16.22,clear sky
104,Carnarvon,AU,-24.8667,113.6333,79.86,69,20,12.55,few clouds
105,Bubaque,GW,11.2833,-15.8333,76.39,72,3,9.35,clear sky
106,Pacific Grove,US,36.6177,-121.9166,51.8,76,90,5.75,overcast clouds
107,Kabinda,CD,-6.1333,24.4833,65.97,97,100,5.46,overcast clouds
108,Zacatecoluca,SV,13.5,-88.8667,78.8,100,20,3.44,few clouds
109,Narsaq,GL,60.9167,-46.05,37.4,44,1,5.75,clear sky
110,Gannan,CN,47.9147,123.5031,29.71,87,100,21.68,light snow
111,Bethel,US,41.3712,-73.414,48.2,76,90,9.22,overcast clouds
112,Aykhal,RU,66.0,111.5,21.38,88,98,13.87,overcast clouds
113,Chokurdakh,RU,70.6333,147.9167,2.75,84,73,14.41,broken clouds
114,Prince Rupert,CA,54.3161,-130.3201,41.0,70,1,4.61,clear sky
115,Kilindoni,TZ,-7.9139,39.6668,78.76,85,100,11.5,heavy intensity rain
116,Abu Kamal,SY,34.4506,40.9171,54.7,53,0,12.97,clear sky
117,Clyde River,CA,70.4692,-68.5914,24.8,86,90,3.44,overcast clouds
118,Gat,IL,31.61,34.7642,55.4,67,75,8.05,broken clouds
119,Ilulissat,GL,69.2167,-51.1,33.8,55,20,14.97,few clouds
120,Behshahr,IR,36.6923,53.5526,55.4,94,25,4.14,mist
121,Sola,VU,-13.8833,167.55,87.8,74,75,4.12,broken clouds
122,Marzuq,YE,14.4,46.4667,70.16,34,66,5.14,broken clouds
123,Saint-Philippe,RE,-21.3585,55.7679,81.0,73,0,4.61,light rain
124,Rondonopolis,BR,-16.4708,-54.6356,71.98,77,0,1.21,clear sky
125,Kaitangata,NZ,-46.2817,169.8464,59.88,73,100,9.33,light rain
126,Maceio,BR,-9.6658,-35.7353,71.6,100,75,3.44,mist
127,Port Lincoln,AU,-34.7333,135.8667,65.16,50,100,19.93,overcast clouds
128,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,5.75,few clouds
129,Christchurch,NZ,-43.5333,172.6333,69.8,49,20,17.27,few clouds
130,Nuuk,GL,64.1835,-51.7216,33.8,69,20,6.91,few clouds
131,Burns Lake,CA,54.2331,-125.7533,28.4,64,61,1.14,broken clouds
132,Emerald,AU,-23.5333,148.1667,80.6,17,0,10.36,clear sky
133,Dunedin,NZ,-45.8742,170.5036,59.0,86,100,1.99,light rain
134,Zemio,CF,5.0314,25.1361,69.98,87,97,2.08,overcast clouds
135,Cidreira,BR,-30.1811,-50.2056,68.54,76,95,15.52,overcast clouds
136,Yanggu,CN,36.1106,115.7753,71.31,37,10,5.75,clear sky
