City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Grand Baie,MU,81.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
5,Butaritari,KI,81.09,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Pangkalanbuun,ID,89.92,light rain,-2.6833,111.6167,Grand Kecubung Hotel
18,Georgetown,MY,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
23,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Yulara,AU,78.8,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
29,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
38,Dingle,PH,90.0,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Cayenne,GF,80.01,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
43,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
44,Veraval,IN,86.2,clear sky,20.9,70.3667,Lords Inn Somnath
45,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
47,Teluk Nibung,ID,84.06,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
50,Balaipungut,ID,84.2,few clouds,1.05,101.2833,
53,Mogadishu,SO,82.09,overcast clouds,2.0371,45.3438,Olympic Hotel
55,Kailua,US,75.2,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
56,Atuona,PF,80.44,scattered clouds,-9.8,-139.0333,Villa Enata
61,Cockburn Town,TC,76.42,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
67,Airai,TL,75.22,scattered clouds,-8.9266,125.4092,Juvinal Martin
70,Tarakan,ID,86.0,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
71,Jiaocheng,CN,88.38,clear sky,24.6774,116.1389,Changtan Tourism Resort
77,Tabuk,PH,88.97,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
78,Victoria,HK,80.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
86,The Valley,AI,75.99,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
88,Isla Mujeres,MX,80.01,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
90,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
97,Phuket,TH,89.01,few clouds,8.0,98.25,The Surin Phuket
102,Rikitea,PF,78.13,light rain,-23.1203,-134.9692,Pension Maro'i
104,Carnarvon,AU,79.86,few clouds,-24.8667,113.6333,Hospitality Carnarvon
105,Bubaque,GW,76.39,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Zacatecoluca,SV,78.8,few clouds,13.5,-88.8667,Hotel Tropical
115,Kilindoni,TZ,78.76,heavy intensity rain,-7.9139,39.6668,Bustani B&B
121,Sola,VU,87.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
123,Saint-Philippe,RE,81.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
128,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
132,Emerald,AU,80.6,clear sky,-23.5333,148.1667,The Irish Village
143,San Lazaro,BZ,81.0,clear sky,18.0387,-88.6622,
166,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
168,Sibolga,ID,79.79,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
170,Hithadhoo,MV,83.41,overcast clouds,-0.6,73.0833,Scoop Guest House
177,Charters Towers,AU,86.74,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
178,Ranong,TH,89.6,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
179,Alofi,NU,78.8,broken clouds,-19.0595,-169.9187,Taloa Heights
181,Luganville,VU,82.58,light rain,-15.5333,167.1667,The Espiritu Hotel
185,Sakete,BJ,82.4,few clouds,6.7362,2.6587,IBUKUN OLUWA
187,Kavieng,PG,80.89,moderate rain,-2.5744,150.7967,Nusa Island Retreat
190,Lodwar,KE,81.54,scattered clouds,3.1191,35.5973,Turkwel Lodge
195,Ternate,ID,84.02,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
197,Hervey Bay,AU,78.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
203,Bucerias,MX,75.2,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
205,Bengkulu,ID,79.99,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
209,Acarau,BR,77.04,overcast clouds,-2.8856,-40.12,castelo pizzaria
215,Manta,EC,77.0,few clouds,-0.95,-80.7333,Balandra Hotel
218,Itarema,BR,76.5,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
219,Birao,CF,78.22,overcast clouds,10.2849,22.7882,
224,Tuy Hoa,VN,85.51,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
229,San Andres,CO,82.4,few clouds,12.5847,-81.7006,Hotel Arena Blanca
234,Bonthe,SL,80.2,light rain,7.5264,-12.505,Bonthe Holiday Village
242,Tocantins,BR,77.0,broken clouds,-10.5,-48.0,
254,Hirara,JP,80.6,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
256,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
