City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabo San Lucas,MX,2021-04-06 21:16:24,22.8909,-109.9124,80.6,60,1,4.61
68,Teya,RU,2021-04-06 21:16:25,60.3778,92.6267,33.51,86,100,9.1
69,Bethel,US,2021-04-06 21:16:25,41.3712,-73.414,66.2,22,1,14.97
70,Mabaruma,GY,2021-04-06 21:16:25,8.2,-59.7833,77.22,93,100,4.99
71,Sobolevo,RU,2021-04-06 21:16:26,54.4299,31.8996,34.88,70,100,3.85
72,Ust-Kuyga,RU,2021-04-06 21:16:26,70.0167,135.6,-21.96,99,95,4.0
73,Nadym,RU,2021-04-06 21:16:26,65.5333,72.5167,29.89,95,100,16.28
74,Victoria,HK,2021-04-06 21:16:27,22.2855,114.1577,73.0,81,87,1.01
75,Te Anau,NZ,2021-04-06 21:16:27,-45.4167,167.7167,49.1,85,27,0.78
76,New Norfolk,AU,2021-04-06 21:16:27,-42.7826,147.0587,52.0,81,56,2.37
77,Tecoanapa,MX,2021-04-06 21:16:28,16.5167,-98.75,86.5,45,100,10.13
78,Grindavik,IS,2021-04-06 21:13:56,63.8424,-22.4338,24.8,68,0,4.61
79,Albany,US,2021-04-06 21:16:28,42.6001,-73.9662,66.0,14,5,1.99
80,Arraial Do Cabo,BR,2021-04-06 21:16:28,-22.9661,-42.0278,77.0,69,20,10.36
81,Puerto Ayora,EC,2021-04-06 21:16:29,-0.7393,-90.3518,80.6,83,20,9.22
82,Saint-Philippe,RE,2021-04-06 21:16:29,-21.3585,55.7679,78.8,69,0,5.75
83,Cotonou,BJ,2021-04-06 21:16:29,6.3654,2.4183,84.2,84,40,11.5
84,Souillac,MU,2021-04-06 21:16:30,-20.5167,57.5167,77.0,94,40,6.91
85,Cayenne,GF,2021-04-06 21:16:30,4.9333,-52.3333,81.0,94,75,3.44
86,Saldanha,ZA,2021-04-06 21:16:30,-33.0117,17.9442,64.4,52,4,4.61
87,Eenhana,NA,2021-04-06 21:16:31,-17.4667,16.3333,69.8,83,87,2.3
88,Tigil,RU,2021-04-06 21:16:31,57.8,158.6667,14.54,89,84,6.46
89,Iracoubo,GF,2021-04-06 21:16:31,5.4802,-53.2011,79.41,82,85,10.78
90,Dikson,RU,2021-04-06 21:16:32,73.5069,80.5464,-6.41,100,92,5.93
91,Sinnai,IT,2021-04-06 21:16:32,39.3042,9.2036,55.0,71,0,5.75
92,Hasaki,JP,2021-04-06 21:16:33,35.7333,140.8333,43.0,93,40,4.61
93,Mogadishu,SO,2021-04-06 21:16:33,2.0371,45.3438,82.31,72,10,14.74
94,Acandi,CO,2021-04-06 21:16:08,8.5063,-77.2778,80.85,85,100,5.86
95,Canar,EC,2021-04-06 21:16:33,-2.55,-78.9333,71.6,46,75,10.36
96,Magadan,RU,2021-04-06 21:16:34,59.5667,150.8,12.63,94,77,4.99
97,Kavieng,PG,2021-04-06 21:14:29,-2.5744,150.7967,79.92,82,100,10.8
98,Carnarvon,AU,2021-04-06 21:16:34,-24.8667,113.6333,75.2,83,88,13.8
99,Tolaga Bay,NZ,2021-04-06 21:16:34,-38.3667,178.3,63.86,75,15,7.49
100,Santa Cruz Del Sur,CU,2021-04-06 21:16:35,20.7147,-77.9956,82.92,51,62,5.91
101,Barra Do Garcas,BR,2021-04-06 21:16:35,-15.89,-52.2567,82.4,74,20,4.88
102,Torbay,CA,2021-04-06 21:16:35,47.6666,-52.7314,39.0,100,90,11.5
103,Hay River,CA,2021-04-06 21:14:25,60.8156,-115.7999,17.6,79,100,9.22
104,Salisbury,GB,2021-04-06 21:16:36,51.0693,-1.7957,35.01,80,75,6.91
105,Matagami,CA,2021-04-06 21:16:36,49.7502,-77.6328,51.8,19,1,9.22
106,Qaanaaq,GL,2021-04-06 21:16:36,77.484,-69.3632,1.98,84,100,1.66
107,Maniitsoq,GL,2021-04-06 21:16:37,65.4167,-52.9,23.47,81,19,4.56
108,Esperance,AU,2021-04-06 21:16:37,-33.8667,121.9,64.4,100,90,3.44
109,Port Alfred,ZA,2021-04-06 21:16:37,-33.5906,26.891,65.77,83,31,17.98
110,Norman Wells,CA,2021-04-06 21:16:38,65.282,-126.8329,6.8,51,75,2.3
111,Oranjemund,NA,2021-04-06 21:16:38,-28.55,16.4333,59.38,94,4,2.91
112,East London,ZA,2021-04-06 21:16:38,-33.0153,27.9116,66.34,81,69,16.55
113,Tautira,PF,2021-04-06 21:16:38,-17.7333,-149.15,86.0,54,20,8.05
114,Kodiak,US,2021-04-06 21:16:39,57.79,-152.4072,37.4,48,1,12.66
115,Faya,SA,2021-04-06 21:16:39,18.3851,42.4509,68.0,42,13,6.91
116,Airai,TL,2021-04-06 21:16:39,-8.9266,125.4092,59.77,85,78,0.98
